day,state,num_deaths
2020-2-12,TN,0
2020-2-13,TN,0
2020-2-14,TN,0
2020-2-15,TN,0
2020-2-16,TN,0
2020-2-17,TN,0
2020-2-18,TN,0
2020-2-19,TN,0
2020-2-20,TN,0
2020-2-21,TN,0
2020-2-22,TN,0
2020-2-23,TN,0
2020-2-24,TN,0
2020-2-25,TN,0
2020-2-26,TN,0
2020-2-27,TN,0
2020-2-28,TN,0
2020-2-29,TN,0
2020-3-1,TN,0
2020-3-2,TN,0
2020-3-3,TN,0
2020-3-4,TN,0
2020-3-5,TN,0
2020-3-6,TN,0
2020-3-7,TN,0
2020-3-8,TN,0
2020-3-9,TN,0
2020-3-10,TN,0
2020-3-11,TN,0
2020-3-12,TN,0
2020-3-13,TN,0
2020-3-14,TN,0
2020-3-15,TN,0
2020-3-16,TN,0
2020-3-17,TN,0
2020-3-18,TN,0
2020-3-19,TN,0
2020-3-20,TN,0
2020-3-21,TN,2
2020-3-22,TN,0
2020-3-23,TN,0
2020-3-24,TN,0
2020-3-25,TN,1
2020-3-26,TN,0
2020-3-27,TN,3
2020-3-28,TN,0
2020-3-29,TN,1
2020-3-30,TN,6
2020-3-31,TN,0
2020-4-1,TN,10
2020-4-2,TN,9
2020-4-3,TN,4
2020-4-4,TN,11
2020-4-5,TN,3
2020-4-6,TN,15
2020-4-7,TN,7
2020-4-8,TN,11
2020-4-9,TN,12
2020-4-10,TN,9
2020-4-11,TN,3
2020-4-12,TN,0
2020-4-13,TN,7
2020-4-14,TN,9
2020-4-15,TN,14
2020-4-16,TN,7
2020-4-17,TN,6
2020-4-18,TN,2
2020-4-19,TN,4
2020-4-20,TN,6
2020-4-21,TN,5
2020-4-22,TN,10
2020-4-23,TN,3
2020-4-24,TN,0
2020-4-25,TN,7
2020-4-26,TN,3
2020-4-27,TN,2
2020-4-28,TN,6
2020-4-29,TN,6
2020-4-30,TN,4
2020-5-1,TN,6
2020-5-2,TN,5
2020-5-3,TN,1
2020-5-4,TN,5
2020-5-5,TN,9
2020-5-6,TN,12
2020-5-7,TN,1
2020-5-8,TN,-7
2020-5-9,TN,1
2020-5-10,TN,1
2020-1-25,OR,0
2020-1-26,OR,0
2020-1-27,OR,0
2020-1-28,OR,0
2020-1-29,OR,0
2020-1-30,OR,0
2020-1-31,OR,0
2020-2-1,OR,0
2020-2-2,OR,0
2020-2-3,OR,0
2020-2-4,OR,0
2020-2-5,OR,0
2020-2-6,OR,0
2020-2-7,OR,0
2020-2-8,OR,0
2020-2-9,OR,0
2020-2-10,OR,0
2020-2-11,OR,0
2020-2-12,OR,0
2020-2-13,OR,0
2020-2-14,OR,0
2020-2-15,OR,0
2020-2-16,OR,0
2020-2-17,OR,0
2020-2-18,OR,0
2020-2-19,OR,0
2020-2-20,OR,0
2020-2-21,OR,0
2020-2-22,OR,0
2020-2-23,OR,0
2020-2-24,OR,0
2020-2-25,OR,0
2020-2-26,OR,0
2020-2-27,OR,0
2020-2-28,OR,0
2020-2-29,OR,0
2020-3-1,OR,0
2020-3-2,OR,0
2020-3-3,OR,0
2020-3-4,OR,0
2020-3-5,OR,0
2020-3-6,OR,0
2020-3-7,OR,0
2020-3-8,OR,0
2020-3-9,OR,0
2020-3-10,OR,0
2020-3-11,OR,0
2020-3-12,OR,0
2020-3-13,OR,0
2020-3-14,OR,1
2020-3-15,OR,0
2020-3-16,OR,0
2020-3-17,OR,1
2020-3-18,OR,1
2020-3-19,OR,0
2020-3-20,OR,0
2020-3-21,OR,1
2020-3-22,OR,1
2020-3-23,OR,0
2020-3-24,OR,3
